Events

ID,날짜,이벤트 이름,출생 후 일수/연령,설명
"1093","2022.08.17. 오후 6:58","그룹 변경","119","새 그룹: 1동, 이전 그룹: 아래"
"7020","2022.08.17. 오후 5:06","그룹 변경","163","새 그룹: 1동, 이전 그룹: 아래"
"9030","2022.08.17. 오후 5:00","시스템 건강","9","건강 지수: 50"
"6006","2022.08.17. 오후 5:00","시스템 건강","59","건강 지수: 78"
"4026","2022.08.17. 오후 4:14","분만","3058","신규 분만 수: 7, 임신 일수: 291, 목적지 그룹: 3동"
"4052","2022.08.17. 오후 2:43","수정","49","수정 횟수: 1, 씨소: KPN950"
"8031","2022.08.17. 오후 2:42","수정","87","수정 횟수: 1, 씨소: KPN950"
"4052","2022.08.17. 오후 1:00","시스템 발정","49","발정 지수: 88.29"
"1189","2022.08.17. 오후 12:00","시스템 발정","32","발정 지수: 77.79"
"7026","2022.08.17. 오전 9:00","시스템 발정","109","발정 지수: 87.51"
"7063","2022.08.17. 오전 8:00","시스템 발정","73","발정 지수: 45.07"
"5028","2022.08.17. 오전 6:00","시스템 발정","120","발정 지수: 70.1"
"9028","2022.08.16. 오후 4:44","분만","1208","신규 분만 수: 2, 임신 일수: 286, 목적지 그룹: 1동"
"8054","2022.08.16. 오후 3:25","통증 / 스트레스","51","지속 시간: 14:20, 형태: 통증 스트레스"
"8031","2022.08.16. 오후 3:00","시스템 발정","86","발정 지수: 54.07"
"0019","2022.08.16. 오후 2:42","수정","96","수정 횟수: 1, 씨소: KPN950"
"8097","2022.08.16. 오후 2:00","시스템 발정","39","발정 지수: 93.37"
"8052","2022.08.16. 오전 11:00","시스템 건강","29","건강 지수: 78"
"8071","2022.08.16. 오전 4:00","시스템 건강","11","건강 지수: 58"
"7015","2022.08.16. 오전 1:00","시스템 건강","9","건강 지수: 31"
"3100","2022.08.16. 오전 12:00","시스템 발정","118","발정 지수: 83.9"
"0023","2022.08.15. 오후 9:18","통증 / 스트레스","180","지속 시간: 16:40, 형태: 통증 스트레스"
"5001","2022.08.15. 오후 8:58","통증 / 스트레스","175","지속 시간: 14:30, 형태: 통증 스트레스"
"0019","2022.08.15. 오후 6:00","시스템 발정","95","발정 지수: 91.43"
"7035","2022.08.15. 오후 4:45","분만","1945","신규 분만 수: 4, 임신 일수: 287, 목적지 그룹: 2동"
"4069","2022.08.15. 오후 3:00","시스템 발정","197","발정 지수: 71.51"
"5082","2022.08.15. 오후 2:41","수정","44","수정 횟수: 1, 씨소: KPN950"
"9222","2022.08.15. 오후 1:00","시스템 건강","11","건강 지수: 74"
"7015","2022.08.15. 오전 3:45","통증 / 스트레스","8","지속 시간: 21:20, 형태: 통증 스트레스"
"3111","2022.08.14. 오후 10:42","통증 / 스트레스","94","지속 시간: 21:30, 형태: 통증 스트레스"
"1189","2022.08.14. 오후 9:25","통증 / 스트레스","29","지속 시간: 14:20, 형태: 통증 스트레스"
"9038","2022.08.14. 오후 6:00","시스템 건강","13","건강 지수: 70"
"3114","2022.08.14. 오후 4:00","시스템 건강","12","건강 지수: 60"
"9030","2022.08.14. 오후 4:00","시스템 건강","6","건강 지수: 40"
"6065","2022.08.14. 오후 3:32","분만","2182","신규 분만 수: 4, 임신 일수: 293, 목적지 그룹: 아래"
"005","2022.08.14. 오후 2:41","수정","587","수정 횟수: 1, 씨소: KPN950"
"115","2022.08.14. 오후 2:40","수정","569","수정 횟수: 3, 씨소: KPN950, 간격: 21"
"5001","2022.08.14. 오전 8:00","시스템 발정","174","발정 지수: 83.98"
"005","2022.08.14. 오전 7:00","시스템 발정","587","발정 지수: 67.78"
"8102","2022.08.14. 오전 7:00","시스템 건강","163","건강 지수: 78"
"115","2022.08.14. 오전 3:00","시스템 발정","569","발정 지수: 97.68"
"5019","2022.08.14. 오전 12:55","통증 / 스트레스","29","지속 시간: 13:10, 형태: 통증 스트레스"
"3026","2022.08.13. 오후 11:09","통증 / 스트레스","54","지속 시간: 16:30, 형태: 통증 스트레스"
"9030","2022.08.13. 오후 10:57","통증 / 스트레스","5","지속 시간: 25:40, 형태: 통증 스트레스"
"3100","2022.08.13. 오후 10:00","시스템 발정","115","발정 지수: 49.21"
"7006","2022.08.13. 오후 9:57","통증 / 스트레스","119","지속 시간: 16:20, 형태: 통증 스트레스"
"9031","2022.08.13. 오후 9:37","통증 / 스트레스","54","지속 시간: 12:30, 형태: 통증 스트레스"
"7047","2022.08.13. 오후 6:00","시스템 발정","99","발정 지수: 52.64"
"5057","2022.08.13. 오후 5:00","시스템 발정","132","발정 지수: 48.18"
"004","2022.08.13. 오후 4:17","수정","586","수정 횟수: 1, 씨소: KPN950"
"7041","2022.08.13. 오후 4:00","시스템 발정","77","발정 지수: 92.09"
"001","2022.08.13. 오전 11:00","시스템 발정","589","발정 지수: 50.38"
"004","2022.08.13. 오전 9:00","시스템 발정","586","발정 지수: 87.65"
"7036","2022.08.13. 오전 7:00","시스템 발정","247","발정 지수: 91.95"
"7015","2022.08.13. 오전 12:00","시스템 건강","6","건강 지수: 22"
"004","2022.08.12. 오후 10:40","통증 / 스트레스","585","지속 시간: 16:10, 형태: 통증 스트레스"
"001","2022.08.12. 오후 10:29","통증 / 스트레스","588","지속 시간: 15:50, 형태: 통증 스트레스"
"3111","2022.08.12. 오후 9:39","통증 / 스트레스","92","지속 시간: 42:50, 형태: 통증 스트레스"
"9035","2022.08.12. 오후 8:39","통증 / 스트레스","48","지속 시간: 14:30, 형태: 통증 스트레스"
"8027","2022.08.12. 오후 3:32","분만","1569","신규 분만 수: 2, 임신 일수: 291, 목적지 그룹: 2동"
"8027","2022.08.12. 오후 3:06","통증 / 스트레스","639","지속 시간: 08:10, 형태: 중등도 분만전 산통"
"7052","2022.08.12. 오후 12:22","통증 / 스트레스","41","지속 시간: 14:50, 형태: 통증 스트레스"
"8054","2022.08.12. 오전 3:22","통증 / 스트레스","47","지속 시간: 81:50, 형태: 통증 스트레스"
"0006","2022.08.11. 오후 11:32","통증 / 스트레스","205","지속 시간: 12:10, 형태: 통증 스트레스"
"9030","2022.08.11. 오후 10:51","통증 / 스트레스","3","지속 시간: 12:40, 형태: 통증 스트레스"
"7073","2022.08.11. 오후 9:55","통증 / 스트레스","43","지속 시간: 25:30, 형태: 통증 스트레스"
"0029","2022.08.11. 오후 9:20","통증 / 스트레스","71","지속 시간: 14:50, 형태: 통증 스트레스"
"3114","2022.08.11. 오후 9:08","통증 / 스트레스","9","지속 시간: 14:10, 형태: 통증 스트레스"
"9038","2022.08.11. 오후 9:03","통증 / 스트레스","10","지속 시간: 14:10, 형태: 통증 스트레스"
"9035","2022.08.11. 오후 8:39","통증 / 스트레스","47","지속 시간: 17:30, 형태: 통증 스트레스"
"0001","2022.08.11. 오후 8:36","통증 / 스트레스","174","지속 시간: 16:30, 형태: 통증 스트레스"
"8042","2022.08.11. 오후 8:25","통증 / 스트레스","63","지속 시간: 16:10, 형태: 통증 스트레스"
"8052","2022.08.11. 오후 8:24","통증 / 스트레스","24","지속 시간: 14:00, 형태: 통증 스트레스"
"3134","2022.08.11. 오후 7:56","통증 / 스트레스","55","지속 시간: 14:30, 형태: 통증 스트레스"
"0034","2022.08.11. 오후 7:00","시스템 건강","103","건강 지수: 75"
"8071","2022.08.11. 오후 5:00","시스템 건강","6","건강 지수: 52"
"9038","2022.08.11. 오후 5:00","시스템 건강","10","건강 지수: 58"
"0102","2022.08.11. 오후 4:16","수정","617","수정 횟수: 1, 씨소: KPN950"
"9222","2022.08.11. 오후 4:00","시스템 건강","7","건강 지수: 62"
"6006","2022.08.11. 오후 3:18","통증 / 스트레스","53","지속 시간: 125:40, 형태: 통증 스트레스"
"3114","2022.08.11. 오후 3:00","시스템 건강","9","건강 지수: 42"
"9030","2022.08.11. 오후 3:00","시스템 건강","3","건강 지수: 25"
"0046","2022.08.11. 오후 1:00","시스템 건강","12","건강 지수: 60"
"0102","2022.08.11. 오전 10:00","시스템 발정","617","발정 지수: 93.53"
"0041","2022.08.11. 오전 6:00","시스템 발정","118","발정 지수: 64.01"
"5025","2022.08.11. 오전 5:00","시스템 발정","79","발정 지수: 52.65"
"7100","2022.08.10. 오후 4:16","수정","40","수정 횟수: 1, 씨소: KPN950"
"9030","2022.08.10. 오후 2:36","Flex 태그 할당","2","새 태그: 10104215, 태그 종류: FLEX"
"1189","2022.08.10. 오후 2:36","Flex 태그 할당","25","새 태그: 10057866, 태그 종류: FLEX"
"6057","2022.08.10. 오후 2:36","Flex 태그 할당","25","새 태그: 10057890, 태그 종류: FLEX"
"8039","2022.08.10. 오후 2:36","Flex 태그 할당","47","새 태그: 10104188, 태그 종류: FLEX"
"4052","2022.08.10. 오후 2:35","Flex 태그 할당","42","새 태그: 10060012, 태그 종류: FLEX"
"0008","2022.08.10. 오후 2:35","Flex 태그 할당","25","새 태그: 10059559, 태그 종류: FLEX"
"9046","2022.08.10. 오후 2:35","Flex 태그 할당","30","새 태그: 10226924, 태그 종류: FLEX"
"5082","2022.08.10. 오후 2:35","Flex 태그 할당","39","새 태그: 10060013, 태그 종류: FLEX"
"8078","2022.08.10. 오후 2:34","Flex 태그 할당","70","새 태그: 10058683, 태그 종류: FLEX"
"8097","2022.08.10. 오후 2:34","Flex 태그 할당","33","새 태그: 10057872, 태그 종류: FLEX"
"9035","2022.08.10. 오후 2:33","Flex 태그 할당","46","새 태그: 10060132, 태그 종류: FLEX"
"5019","2022.08.10. 오후 2:33","Flex 태그 할당","25","새 태그: 10057975, 태그 종류: FLEX"
"8073","2022.08.10. 오후 2:33","Flex 태그 할당","12","새 태그: 10057984, 태그 종류: FLEX"
"9038","2022.08.10. 오후 2:33","Flex 태그 할당","9","새 태그: 10059641, 태그 종류: FLEX"
"8052","2022.08.10. 오후 2:32","Flex 태그 할당","23","새 태그: 10057904, 태그 종류: FLEX"
"7073","2022.08.10. 오후 2:32","Flex 태그 할당","42","새 태그: 10057875, 태그 종류: FLEX"
"8058","2022.08.10. 오후 2:32","Flex 태그 할당","33","새 태그: 10057897, 태그 종류: FLEX"
"8080","2022.08.10. 오후 2:30","Flex 태그 할당","33","새 태그: 10070041, 태그 종류: FLEX"
"3134","2022.08.10. 오후 2:30","Flex 태그 할당","54","새 태그: 10058637, 태그 종류: FLEX"
"5216","2022.08.10. 오후 2:30","Flex 태그 할당","61","새 태그: 10057884, 태그 종류: FLEX"
"6031","2022.08.10. 오후 2:29","Flex 태그 할당","58","새 태그: 10057868, 태그 종류: FLEX"
"8027","2022.08.10. 오후 2:29","Flex 태그 할당","637","새 태그: 10059537, 태그 종류: FLEX"
"0046","2022.08.10. 오후 2:28","Flex 태그 할당","11","새 태그: 10057894, 태그 종류: FLEX"
"8060","2022.08.10. 오후 2:28","Flex 태그 할당","14","새 태그: 10059024, 태그 종류: FLEX"
"8056","2022.08.10. 오후 2:28","Flex 태그 할당","23","새 태그: 10058616, 태그 종류: FLEX"
"8065","2022.08.10. 오후 2:28","Flex 태그 할당","28","새 태그: 10057893, 태그 종류: FLEX"
"7210","2022.08.10. 오후 2:27","Flex 태그 할당","25","새 태그: 10058236, 태그 종류: FLEX"
"5048","2022.08.10. 오후 2:27","Flex 태그 할당","37","새 태그: 10059629, 태그 종류: FLEX"
"7100","2022.08.10. 오후 2:27","Flex 태그 할당","40","새 태그: 10060197, 태그 종류: FLEX"
"8054","2022.08.10. 오후 2:27","Flex 태그 할당","45","새 태그: 10059141, 태그 종류: FLEX"
"8029","2022.08.10. 오후 2:26","Flex 태그 할당","40","새 태그: 10059977, 태그 종류: FLEX"
"7052","2022.08.10. 오후 2:26","Flex 태그 할당","39","새 태그: 10060168, 태그 종류: FLEX"
"6034","2022.08.10. 오후 2:26","Flex 태그 할당","55","새 태그: 10058249, 태그 종류: FLEX"
"9031","2022.08.10. 오후 2:26","Flex 태그 할당","51","새 태그: 10059941, 태그 종류: FLEX"
"3026","2022.08.10. 오후 2:25","Flex 태그 할당","51","새 태그: 10058589, 태그 종류: FLEX"
"9222","2022.08.10. 오후 2:21","Flex 태그 할당","6","새 태그: 10069989, 태그 종류: FLEX"
"8031","2022.08.10. 오후 2:21","Flex 태그 할당","80","새 태그: 10059185, 태그 종류: FLEX"
"5018","2022.08.10. 오후 2:20","Flex 태그 할당","61","새 태그: 10058638, 태그 종류: FLEX"
"3111","2022.08.10. 오후 2:19","Flex 태그 할당","90","새 태그: 10059965, 태그 종류: FLEX"
"4078","2022.08.10. 오후 2:19","Flex 태그 할당","62","새 태그: 10060146, 태그 종류: FLEX"
"8042","2022.08.10. 오후 2:19","Flex 태그 할당","62","새 태그: 10059111, 태그 종류: FLEX"
"7020","2022.08.10. 오후 2:19","Flex 태그 교체","156","새 태그: 10058438, 이전 태그: 10058247"
"6078","2022.08.10. 오후 2:17","Flex 태그 할당","68","새 태그: 10058705, 태그 종류: FLEX"
"7015","2022.08.10. 오후 2:17","Flex 태그 할당","3","새 태그: 10060365, 태그 종류: FLEX"
"0015","2022.08.10. 오후 2:17","Flex 태그 할당","70","새 태그: 10058414, 태그 종류: FLEX"
"6039","2022.08.10. 오후 2:17","Flex 태그 할당","35","새 태그: 10081460, 태그 종류: FLEX"
"3114","2022.08.10. 오후 2:16","Flex 태그 할당","8","새 태그: 10069754, 태그 종류: FLEX"
"6006","2022.08.10. 오후 2:16","Flex 태그 할당","52","새 태그: 10057867, 태그 종류: FLEX"
"8071","2022.08.10. 오후 2:16","Flex 태그 할당","5","새 태그: 10059608, 태그 종류: FLEX"
"7063","2022.08.10. 오후 2:15","Flex 태그 할당","66","새 태그: 10060311, 태그 종류: FLEX"
"0036","2022.08.10. 오후 2:14","Flex 태그 할당","47","새 태그: 10058698, 태그 종류: FLEX"
"0056","2022.08.10. 오후 1:16","분만","812","신규 분만 수: 1, 임신 일수: 287, 목적지 그룹: 2동"
"0057","2022.08.10. 오후 1:15","분만","811","신규 분만 수: 1, 임신 일수: 285, 목적지 그룹: 1동"
"7009","2022.08.10. 오후 1:12","분만","2003","신규 분만 수: 3, 임신 일수: 289, 목적지 그룹: 2동"
"7007","2022.08.10. 오전 6:42","통증 / 스트레스","99","지속 시간: 71:10, 형태: 통증 스트레스"
"112","2022.08.09. 오전 12:00","시스템 건강","202","건강 지수: 79"
"112","2022.08.08. 오후 10:10","통증 / 스트레스","201","지속 시간: 19:50, 형태: 통증 스트레스"
"9030","2022.08.08. 오후 6:36","분만","1195","신규 분만 수: 2, 임신 일수: 291, 목적지 그룹: 2동"
"0015","2022.08.08. 오후 4:15","수정","68","수정 횟수: 1, 씨소: KPN950"
"5085","2022.08.08. 오전 11:00","시스템 발정","182","발정 지수: 82.6"
"0001","2022.08.08. 오전 6:00","시스템 발정","171","발정 지수: 94.53"
"8087","2022.08.08. 오전 6:00","시스템 발정","143","발정 지수: 47.52"
"006","2022.08.08. 오전 6:00","시스템 발정","577","발정 지수: 78.06"
"4033","2022.08.08. 오전 6:00","시스템 건강","112","건강 지수: 79"
"0014","2022.08.08. 오전 5:00","시스템 발정","178","발정 지수: 97.45"
"003B","2022.08.08. 오전 4:00","시스템 발정","581","발정 지수: 77.65"
"003B","2022.08.07. 오후 8:36","통증 / 스트레스","580","지속 시간: 17:40, 형태: 통증 스트레스"
"7015","2022.08.07. 오후 6:36","분만","1999","신규 분만 수: 3, 임신 일수: 289, 목적지 그룹: 아래"
"5032","2022.08.07. 오전 9:00","시스템 발정","167","발정 지수: 54.95"
"6084","2022.08.07. 오전 4:42","통증 / 스트레스","111","지속 시간: 17:40, 형태: 통증 스트레스"
"6069","2022.08.06. 오후 10:03","통증 / 스트레스","137","지속 시간: 16:20, 형태: 통증 스트레스"
"4051","2022.08.06. 오후 6:35","분만","2963","신규 분만 수: 6, 임신 일수: 292, 목적지 그룹: 2동"
"7074","2022.08.06. 오후 6:16","수정","188","수정 횟수: 2, 씨소: KPN950, 간격: 123"
"004","2022.08.06. 오전 5:00","시스템 발정","579","발정 지수: 55.42"
"4033","2022.08.06. 오전 4:39","통증 / 스트레스","110","지속 시간: 23:00, 형태: 통증 스트레스"
"7074","2022.08.06. 오전 4:00","시스템 발정","188","발정 지수: 85.15"
"001","2022.08.06. 오전 3:00","시스템 건강","582","건강 지수: 78"
"001","2022.08.06. 오전 12:42","통증 / 스트레스","582","지속 시간: 15:10, 형태: 통증 스트레스"
"8071","2022.08.05. 오후 6:34","그룹 변경","1493","새 그룹: 2동, 이전 그룹: 3동"
"8071","2022.08.05. 오후 6:34","분만","1493","신규 분만 수: 3, 임신 일수: 292, 목적지 그룹: 2동"
"8055","2022.08.05. 오후 6:34","분만","1511","신규 분만 수: 3, 임신 일수: 297, 목적지 그룹: 2동"
"9064","2022.08.05. 오후 6:34","분만","1132","신규 분만 수: 2, 임신 일수: 285, 목적지 그룹: 2동"
"3067","2022.08.05. 오후 6:16","수정","90","수정 횟수: 1, 씨소: KPN950"
"3067","2022.08.05. 오전 8:00","시스템 발정","90","발정 지수: 62.02"
"5046","2022.08.05. 오전 5:00","시스템 발정","166","발정 지수: 90.71"
"6084","2022.08.05. 오전 2:56","통증 / 스트레스","109","지속 시간: 19:40, 형태: 통증 스트레스"
"112","2022.08.04. 오후 10:04","통증 / 스트레스","197","지속 시간: 23:10, 형태: 통증 스트레스"
"9222","2022.08.04. 오후 6:33","분만","1240","신규 분만 수: 2, 임신 일수: 286, 목적지 그룹: 1동"
"6036","2022.08.04. 오후 6:07","수정","113","수정 횟수: 2, 씨소: KPN950, 간격: 46"
"0110","2022.08.04. 오후 3:00","시스템 건강","584","건강 지수: 79"
"0110","2022.08.04. 오후 12:59","통증 / 스트레스","584","지속 시간: 16:00, 형태: 통증 스트레스"
"6036","2022.08.04. 오전 7:00","시스템 발정","113","발정 지수: 92.9"
"6084","2022.08.03. 오후 8:52","통증 / 스트레스","107","지속 시간: 21:50, 형태: 통증 스트레스"
"6041","2022.08.03. 오후 6:05","수정","110","수정 횟수: 1, 씨소: KPN950"
"2028","2022.08.03. 오후 6:04","수정","147","수정 횟수: 3, 씨소: KPN950, 간격: 5"
"5011","2022.08.03. 오후 4:00","시스템 발정","109","발정 지수: 81.95"
"5032","2022.08.03. 오전 5:00","시스템 발정","163","발정 지수: 51.96"
"6041","2022.08.03. 오전 5:00","시스템 발정","110","발정 지수: 99.32"
"2028","2022.08.03. 오전 3:00","시스템 발정","147","발정 지수: 77.65"
"8102","2022.08.02. 오후 8:50","통증 / 스트레스","151","지속 시간: 16:20, 형태: 통증 스트레스"
"3040","2022.08.02. 오후 4:00","시스템 건강","410","건강 지수: 78"
"0047","2022.08.02. 오후 3:00","시스템 발정","101","발정 지수: 89.9"
"3114","2022.08.02. 오전 9:36","분만","3327","신규 분만 수: 8, 임신 일수: 293, 목적지 그룹: 3동"
"2018","2022.08.02. 오전 2:00","시스템 발정","101","발정 지수: 98.06"
"119","2022.08.01. 오후 5:56","수정","547","수정 횟수: 1, 씨소: KPN950"
"201","2022.08.01. 오후 1:00","시스템 건강","571","건강 지수: 77"
"119","2022.08.01. 오전 10:00","시스템 발정","547","발정 지수: 84.17"
"9038","2022.08.01. 오전 9:35","분만","1174","신규 분만 수: 2, 임신 일수: 293, 목적지 그룹: 2동"
"8024","2022.07.31. 오후 11:00","시스템 발정","117","발정 지수: 99"
"0047","2022.07.31. 오후 4:00","시스템 발정","99","발정 지수: 74.28"
"1093","2022.07.31. 오후 3:00","시스템 발정","102","발정 지수: 91.43"
"5032","2022.07.31. 오후 1:00","시스템 발정","160","발정 지수: 93.82"
"112","2022.07.31. 오전 12:00","시스템 건강","193","건강 지수: 77"
"9251","2022.07.30. 오후 11:05","통증 / 스트레스","68","지속 시간: 13:00, 형태: 통증 스트레스"
"009","2022.07.30. 오후 9:52","통증 / 스트레스","558","지속 시간: 12:40, 형태: 통증 스트레스"
"9251","2022.07.30. 오후 9:00","시스템 건강","68","건강 지수: 78"
"110","2022.07.30. 오후 8:13","통증 / 스트레스","558","지속 시간: 19:40, 형태: 통증 스트레스"
"112","2022.07.30. 오후 8:05","통증 / 스트레스","192","지속 시간: 23:40, 형태: 통증 스트레스"
"110","2022.07.30. 오후 8:00","시스템 건강","558","건강 지수: 78"
"0108","2022.07.30. 오후 7:55","통증 / 스트레스","592","지속 시간: 16:30, 형태: 통증 스트레스"
"0046","2022.07.30. 오후 5:33","분만","812","신규 분만 수: 1, 임신 일수: 289, 목적지 그룹: 2동"
"0108","2022.07.30. 오전 12:00","통증 / 스트레스","591","지속 시간: 12:00, 형태: 통증 스트레스"
"0026","2022.07.29. 오후 10:22","Flex 태그 제거","107","제거된 태그: 10058638, 태그 종류: FLEX"
"0026","2022.07.29. 오후 10:22","양성","107","결과: 양성, 수태된 수정 날짜: 2022.06.01., 임신 일수: 58 일"
"6010","2022.07.29. 오후 10:21","Flex 태그 제거","139","제거된 태그: 10069989, 태그 종류: FLEX"
"6010","2022.07.29. 오후 10:21","양성","139","결과: 양성, 수태된 수정 날짜: 2022.05.20., 임신 일수: 70 일"
"6033","2022.07.29. 오후 10:21","Flex 태그 제거","138","제거된 태그: 10060132, 태그 종류: FLEX"
"6033","2022.07.29. 오후 10:20","양성","138","결과: 양성, 수태된 수정 날짜: 2022.04.05., 임신 일수: 115 일"
"6047","2022.07.29. 오후 10:20","Flex 태그 제거","164","제거된 태그: 10058236, 태그 종류: FLEX"
"6047","2022.07.29. 오후 10:20","양성","164","결과: 양성, 수태된 수정 날짜: 2022.03.30., 임신 일수: 121 일"
"7008","2022.07.29. 오후 10:20","Flex 태그 제거","186","제거된 태그: 10059941, 태그 종류: FLEX"
"7008","2022.07.29. 오후 10:20","양성","186","결과: 양성, 수태된 수정 날짜: 2022.06.10., 임신 일수: 49 일"
"8104","2022.07.29. 오후 10:19","Flex 태그 제거","210","제거된 태그: 10070041, 태그 종류: FLEX"
"8104","2022.07.29. 오후 10:19","양성","210","결과: 양성, 수태된 수정 날짜: 2022.04.02., 임신 일수: 118 일"
"5016","2022.07.29. 오후 10:19","Flex 태그 제거","167","제거된 태그: 10057884, 태그 종류: FLEX"
"5016","2022.07.29. 오후 10:19","양성","167","결과: 양성, 수태된 수정 날짜: 2022.04.30., 임신 일수: 90 일"
"8021","2022.07.29. 오후 10:19","Flex 태그 제거","110","제거된 태그: 10060410, 태그 종류: FLEX"
"8021","2022.07.29. 오후 10:19","양성","110","결과: 양성, 수태된 수정 날짜: 2022.05.24., 임신 일수: 66 일"
"0024","2022.07.29. 오후 10:18","Flex 태그 제거","152","제거된 태그: 10058683, 태그 종류: FLEX"
"0024","2022.07.29. 오후 10:18","양성","152","결과: 양성, 수태된 수정 날짜: 2022.06.13., 임신 일수: 46 일"
"5007","2022.07.29. 오후 10:18","Flex 태그 제거","113","제거된 태그: 10057866, 태그 종류: FLEX"
"5007","2022.07.29. 오후 10:18","양성","113","결과: 양성, 수태된 수정 날짜: 2022.05.07., 임신 일수: 83 일"
"8090","2022.07.29. 오후 10:18","Flex 태그 제거","205","제거된 태그: 10058414, 태그 종류: FLEX"
"8090","2022.07.29. 오후 10:18","양성","205","결과: 양성, 수태된 수정 날짜: 2022.02.25., 임신 일수: 154 일"
"9013","2022.07.29. 오후 10:17","Flex 태그 제거","115","제거된 태그: 10059111, 태그 종류: FLEX"
"9013","2022.07.29. 오후 10:17","양성","115","결과: 양성, 수태된 수정 날짜: 2022.05.13., 임신 일수: 77 일"
"0093","2022.07.29. 오후 10:17","Flex 태그 제거","654","제거된 태그: 10057897, 태그 종류: FLEX"
"0093","2022.07.29. 오후 10:17","양성","654","결과: 양성, 수태된 수정 날짜: 2022.04.07., 임신 일수: 113 일"
"112","2022.07.29. 오후 10:17","통증 / 스트레스","191","지속 시간: 19:10, 형태: 통증 스트레스"
"8018","2022.07.29. 오후 10:16","Flex 태그 제거","147","제거된 태그: 10060146, 태그 종류: FLEX"
"8018","2022.07.29. 오후 10:16","양성","147","결과: 양성, 수태된 수정 날짜: 2022.04.20., 임신 일수: 100 일"
"0025","2022.07.29. 오후 10:16","Flex 태그 제거","129","제거된 태그: 10058704, 태그 종류: FLEX"
"0025","2022.07.29. 오후 10:16","양성","129","결과: 양성, 수태된 수정 날짜: 2022.05.08., 임신 일수: 82 일"
"4058","2022.07.29. 오후 10:16","Flex 태그 제거","229","제거된 태그: 10057904, 태그 종류: FLEX"
"4058","2022.07.29. 오후 10:16","양성","229","결과: 양성, 수태된 수정 날짜: 2022.05.10., 임신 일수: 80 일"
"6001","2022.07.29. 오후 10:15","Flex 태그 제거","144","제거된 태그: 10058705, 태그 종류: FLEX"
"6001","2022.07.29. 오후 10:15","양성","144","결과: 양성, 수태된 수정 날짜: 2022.04.28., 임신 일수: 92 일"
"6042","2022.07.29. 오후 10:15","Flex 태그 제거","132","제거된 태그: 10057868, 태그 종류: FLEX"
"6042","2022.07.29. 오후 10:15","양성","132","결과: 양성, 수태된 수정 날짜: 2022.05.13., 임신 일수: 77 일"
"1141","2022.07.29. 오후 10:15","Flex 태그 제거","120","제거된 태그: 10059537, 태그 종류: FLEX"
"1141","2022.07.29. 오후 10:15","양성","120","결과: 양성, 수태된 수정 날짜: 2022.06.11., 임신 일수: 48 일"
"7091","2022.07.29. 오후 10:14","Flex 태그 제거","156","제거된 태그: 10226924, 태그 종류: FLEX"
"7091","2022.07.29. 오후 10:14","양성","156","결과: 양성, 수태된 수정 날짜: 2022.04.10., 임신 일수: 110 일"
"2053","2022.07.29. 오후 10:14","Flex 태그 제거","204","제거된 태그: 10069754, 태그 종류: FLEX"
"2053","2022.07.29. 오후 10:14","양성","204","결과: 양성, 수태된 수정 날짜: 2022.04.22., 임신 일수: 98 일"
"9012","2022.07.29. 오후 10:14","Flex 태그 제거","102","제거된 태그: 10058637, 태그 종류: FLEX"
"9012","2022.07.29. 오후 10:14","양성","102","결과: 양성, 수태된 수정 날짜: 2022.06.02., 임신 일수: 57 일"
"7011","2022.07.29. 오후 10:13","Flex 태그 제거","135","제거된 태그: 10059629, 태그 종류: FLEX"
"7011","2022.07.29. 오후 10:13","양성","135","결과: 양성, 수태된 수정 날짜: 2022.05.03., 임신 일수: 87 일"
"8083","2022.07.29. 오후 10:13","Flex 태그 제거","200","제거된 태그: 10058249, 태그 종류: FLEX"
"8083","2022.07.29. 오후 10:13","양성","200","결과: 양성, 수태된 수정 날짜: 2022.03.21., 임신 일수: 130 일"
"9235","2022.07.29. 오후 10:13","Flex 태그 제거","139","제거된 태그: 10060365, 태그 종류: FLEX"
"9235","2022.07.29. 오후 10:13","양성","139","결과: 양성, 수태된 수정 날짜: 2022.05.01., 임신 일수: 89 일"
"2054","2022.07.29. 오후 10:12","Flex 태그 제거","201","제거된 태그: 10060197, 태그 종류: FLEX"
"2054","2022.07.29. 오후 10:12","양성","201","결과: 양성, 수태된 수정 날짜: 2022.04.02., 임신 일수: 118 일"
"10147","2022.07.29. 오후 10:12","Flex 태그 제거","213","제거된 태그: 10060311, 태그 종류: FLEX"
"10147","2022.07.29. 오후 10:12","양성","213","결과: 양성, 수태된 수정 날짜: 2022.04.17., 임신 일수: 103 일"
"4050","2022.07.29. 오후 10:12","Flex 태그 제거","158","제거된 태그: 10057875, 태그 종류: FLEX"
"4050","2022.07.29. 오후 10:11","양성","158","결과: 양성, 수태된 수정 날짜: 2022.04.05., 임신 일수: 115 일"
"9083","2022.07.29. 오후 10:11","Flex 태그 제거","132","제거된 태그: 10059641, 태그 종류: FLEX"
"9083","2022.07.29. 오후 10:11","양성","132","결과: 양성, 수태된 수정 날짜: 2022.06.05., 임신 일수: 54 일"
"6002","2022.07.29. 오후 10:11","Flex 태그 제거","119","제거된 태그: 10058616, 태그 종류: FLEX"
"6002","2022.07.29. 오후 10:11","양성","119","결과: 양성, 수태된 수정 날짜: 2022.06.07., 임신 일수: 52 일"
